,local_id,inf_day,new_infected_sim,Locality,new_infected_real,infect_sim_por_sigma
0,1,427,118,Usaquén,48.0,59.0
1,1,428,121,Usaquén,55.0,60.5
2,1,429,126,Usaquén,55.0,63.0
3,1,430,127,Usaquén,52.0,63.5
4,1,431,131,Usaquén,59.0,65.5
5,1,432,134,Usaquén,55.0,67.0
6,1,433,139,Usaquén,55.0,69.5
7,1,434,142,Usaquén,57.0,71.0
8,1,435,150,Usaquén,64.0,75.0
9,1,436,153,Usaquén,64.0,76.5
10,1,437,157,Usaquén,73.0,78.5
11,1,438,163,Usaquén,79.0,81.5
12,1,439,168,Usaquén,82.0,84.0
13,1,440,172,Usaquén,72.0,86.0
14,1,441,179,Usaquén,93.0,89.5
15,1,442,185,Usaquén,101.0,92.5
16,1,443,189,Usaquén,99.0,94.5
17,1,444,195,Usaquén,91.0,97.5
18,1,445,203,Usaquén,105.0,101.5
19,1,446,208,Usaquén,111.0,104.0
20,1,447,214,Usaquén,105.0,107.0
21,1,448,221,Usaquén,110.0,110.5
22,1,449,234,Usaquén,111.0,117.0
23,1,450,241,Usaquén,103.0,120.5
24,1,451,248,Usaquén,128.0,124.0
25,1,452,258,Usaquén,131.0,129.0
26,1,453,265,Usaquén,134.0,132.5
27,1,454,274,Usaquén,153.0,137.0
28,1,455,284,Usaquén,157.0,142.0
29,1,456,284,Usaquén,166.0,142.0
30,1,457,292,Usaquén,207.0,146.0
31,1,458,300,Usaquén,207.0,150.0
32,1,459,309,Usaquén,211.0,154.5
33,1,460,317,Usaquén,223.0,158.5
34,1,461,325,Usaquén,214.0,162.5
35,1,462,334,Usaquén,247.0,167.0
36,1,463,307,Usaquén,223.0,153.5
37,1,464,316,Usaquén,230.0,158.0
38,1,465,319,Usaquén,282.0,159.5
39,1,466,323,Usaquén,272.0,161.5
40,1,467,325,Usaquén,223.0,162.5
41,1,468,328,Usaquén,271.0,164.0
42,1,469,334,Usaquén,256.0,167.0
43,1,470,343,Usaquén,258.0,171.5
44,1,471,347,Usaquén,237.0,173.5
45,1,472,353,Usaquén,234.0,176.5
46,1,473,355,Usaquén,248.0,177.5
47,1,474,362,Usaquén,211.0,181.0
48,1,475,365,Usaquén,171.0,182.5
49,1,476,371,Usaquén,195.0,185.5
50,1,477,361,Usaquén,171.0,180.5
51,1,478,363,Usaquén,166.0,181.5
52,1,479,365,Usaquén,189.0,182.5
53,1,480,368,Usaquén,166.0,184.0
54,1,481,371,Usaquén,175.0,185.5
55,1,482,373,Usaquén,202.0,186.5
56,1,483,374,Usaquén,192.0,187.0
57,1,484,395,Usaquén,217.0,197.5
58,1,485,398,Usaquén,220.0,199.0
59,1,486,400,Usaquén,248.0,200.0
60,1,487,406,Usaquén,231.0,203.0
379,2,427,34,Chapinero,26.0,17.0
380,2,428,34,Chapinero,15.0,17.0
381,2,429,34,Chapinero,28.0,17.0
382,2,430,35,Chapinero,24.0,17.5
383,2,431,37,Chapinero,22.0,18.5
384,2,432,38,Chapinero,30.0,19.0
385,2,433,39,Chapinero,22.0,19.5
386,2,434,40,Chapinero,39.0,20.0
387,2,435,41,Chapinero,31.0,20.5
388,2,436,44,Chapinero,38.0,22.0
389,2,437,46,Chapinero,33.0,23.0
390,2,438,46,Chapinero,40.0,23.0
391,2,439,47,Chapinero,29.0,23.5
392,2,440,49,Chapinero,23.0,24.5
393,2,441,51,Chapinero,36.0,25.5
394,2,442,52,Chapinero,35.0,26.0
395,2,443,55,Chapinero,45.0,27.5
396,2,444,55,Chapinero,40.0,27.5
397,2,445,56,Chapinero,37.0,28.0
398,2,446,60,Chapinero,56.0,30.0
399,2,447,61,Chapinero,44.0,30.5
400,2,448,62,Chapinero,51.0,31.0
401,2,449,66,Chapinero,42.0,33.0
402,2,450,68,Chapinero,38.0,34.0
403,2,451,70,Chapinero,47.0,35.0
404,2,452,72,Chapinero,52.0,36.0
405,2,453,76,Chapinero,50.0,38.0
406,2,454,78,Chapinero,63.0,39.0
407,2,455,80,Chapinero,61.0,40.0
408,2,456,80,Chapinero,67.0,40.0
409,2,457,82,Chapinero,74.0,41.0
410,2,458,86,Chapinero,102.0,43.0
411,2,459,87,Chapinero,90.0,43.5
412,2,460,89,Chapinero,60.0,44.5
413,2,461,93,Chapinero,88.0,46.5
414,2,462,94,Chapinero,76.0,47.0
415,2,463,86,Chapinero,81.0,43.0
416,2,464,89,Chapinero,93.0,44.5
417,2,465,90,Chapinero,89.0,45.0
418,2,466,91,Chapinero,87.0,45.5
419,2,467,93,Chapinero,86.0,46.5
420,2,468,93,Chapinero,81.0,46.5
421,2,469,94,Chapinero,61.0,47.0
422,2,470,96,Chapinero,69.0,48.0
423,2,471,99,Chapinero,75.0,49.5
424,2,472,100,Chapinero,84.0,50.0
425,2,473,101,Chapinero,77.0,50.5
426,2,474,102,Chapinero,68.0,51.0
427,2,475,102,Chapinero,61.0,51.0
428,2,476,105,Chapinero,69.0,52.5
429,2,477,102,Chapinero,71.0,51.0
430,2,478,102,Chapinero,58.0,51.0
431,2,479,102,Chapinero,60.0,51.0
432,2,480,103,Chapinero,68.0,51.5
433,2,481,105,Chapinero,73.0,52.5
434,2,482,106,Chapinero,55.0,53.0
435,2,483,107,Chapinero,73.0,53.5
436,2,484,111,Chapinero,56.0,55.5
437,2,485,112,Chapinero,70.0,56.0
438,2,486,114,Chapinero,73.0,57.0
439,2,487,115,Chapinero,78.0,57.5
758,3,427,28,Santa Fe,11.0,14.0
759,3,428,29,Santa Fe,10.0,14.5
760,3,429,29,Santa Fe,4.0,14.5
761,3,430,30,Santa Fe,7.0,15.0
762,3,431,30,Santa Fe,10.0,15.0
763,3,432,31,Santa Fe,7.0,15.5
764,3,433,32,Santa Fe,13.0,16.0
765,3,434,32,Santa Fe,7.0,16.0
766,3,435,34,Santa Fe,4.0,17.0
767,3,436,36,Santa Fe,15.0,18.0
768,3,437,37,Santa Fe,8.0,18.5
769,3,438,37,Santa Fe,9.0,18.5
770,3,439,38,Santa Fe,14.0,19.0
771,3,440,39,Santa Fe,7.0,19.5
772,3,441,40,Santa Fe,17.0,20.0
773,3,442,41,Santa Fe,14.0,20.5
774,3,443,44,Santa Fe,14.0,22.0
775,3,444,45,Santa Fe,9.0,22.5
776,3,445,46,Santa Fe,23.0,23.0
777,3,446,48,Santa Fe,14.0,24.0
778,3,447,49,Santa Fe,17.0,24.5
779,3,448,51,Santa Fe,18.0,25.5
780,3,449,53,Santa Fe,23.0,26.5
781,3,450,55,Santa Fe,12.0,27.5
782,3,451,57,Santa Fe,17.0,28.5
783,3,452,59,Santa Fe,18.0,29.5
784,3,453,61,Santa Fe,22.0,30.5
785,3,454,61,Santa Fe,23.0,30.5
786,3,455,65,Santa Fe,22.0,32.5
787,3,456,65,Santa Fe,24.0,32.5
788,3,457,67,Santa Fe,26.0,33.5
789,3,458,69,Santa Fe,31.0,34.5
790,3,459,70,Santa Fe,31.0,35.0
791,3,460,73,Santa Fe,30.0,36.5
792,3,461,75,Santa Fe,29.0,37.5
793,3,462,76,Santa Fe,27.0,38.0
794,3,463,70,Santa Fe,28.0,35.0
795,3,464,72,Santa Fe,41.0,36.0
796,3,465,73,Santa Fe,35.0,36.5
797,3,466,74,Santa Fe,30.0,37.0
798,3,467,75,Santa Fe,36.0,37.5
799,3,468,75,Santa Fe,35.0,37.5
800,3,469,76,Santa Fe,35.0,38.0
801,3,470,78,Santa Fe,34.0,39.0
802,3,471,79,Santa Fe,18.0,39.5
803,3,472,80,Santa Fe,33.0,40.0
804,3,473,82,Santa Fe,31.0,41.0
805,3,474,83,Santa Fe,40.0,41.5
806,3,475,84,Santa Fe,31.0,42.0
807,3,476,85,Santa Fe,28.0,42.5
808,3,477,83,Santa Fe,23.0,41.5
809,3,478,83,Santa Fe,38.0,41.5
810,3,479,85,Santa Fe,25.0,42.5
811,3,480,85,Santa Fe,34.0,42.5
812,3,481,85,Santa Fe,34.0,42.5
813,3,482,85,Santa Fe,34.0,42.5
814,3,483,85,Santa Fe,37.0,42.5
815,3,484,91,Santa Fe,30.0,45.5
816,3,485,91,Santa Fe,37.0,45.5
817,3,486,91,Santa Fe,30.0,45.5
818,3,487,93,Santa Fe,48.0,46.5
1137,4,427,105,San Cristóbal,13.0,52.5
1138,4,428,108,San Cristóbal,17.0,54.0
1139,4,429,110,San Cristóbal,20.0,55.0
